"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 03월 29일","90.15","90.11","90.18","89.90","-","0.10%"
"2018년 03월 28일","90.06","89.32","90.15","89.25","-","0.82%"
"2018년 03월 27일","89.33","89.02","89.63","88.94","-","0.34%"
"2018년 03월 26일","89.03","89.47","89.52","88.98","-","-0.50%"
"2018년 03월 23일","89.48","89.67","89.74","89.40","-","-0.42%"
"2018년 03월 22일","89.86","89.65","89.96","89.40","-","0.09%"
"2018년 03월 21일","89.78","90.41","90.40","89.63","-","-0.65%"
"2018년 03월 20일","90.37","89.88","90.44","89.85","-","0.67%"
"2018년 03월 19일","89.77","90.20","90.34","89.76","-","-0.51%"
"2018년 03월 16일","90.23","90.14","90.38","89.89","-","0.10%"
"2018년 03월 15일","90.14","89.75","90.17","89.62","-","0.49%"
"2018년 03월 14일","89.70","89.70","89.89","89.56","-","0.04%"
"2018년 03월 13일","89.66","89.91","90.11","89.59","-","-0.26%"
"2018년 03월 12일","89.89","90.11","90.19","89.84","-","-0.22%"
"2018년 03월 09일","90.09","90.20","90.36","90.00","-","-0.10%"
"2018년 03월 08일","90.18","89.59","90.23","89.44","-","0.60%"
"2018년 03월 07일","89.64","89.51","89.78","89.41","-","0.02%"
"2018년 03월 06일","89.62","89.96","90.06","89.43","-","-0.51%"
"2018년 03월 05일","90.08","89.83","90.22","89.83","-","0.16%"
"2018년 03월 02일","89.94","90.25","90.29","89.88","-","-0.42%"
"2018년 03월 01일","90.32","90.67","90.93","90.21","-","-0.32%"
"2018년 02월 28일","90.61","90.41","90.70","90.31","-","0.28%"
